manual_saver
BREAD,$GPRMC,090757.000,A,3907.6459,N,08431.6075,W,0.14,25.35,040120,,,A*4A

BREAD,$GPRMC,090758.000,A,3907.6459,N,08431.6075,W,0.19,18.34,040120,,,A*47

BREAD,$GPRMC,090759.000,A,3907.6460,N,08431.6075,W,0.28,34.09,040120,,,A*4E

BREAD,$GPRMC,090800.000,A,3907.6460,N,08431.6074,W,0.19,47.03,040120,,,A*40

BREAD,$GPRMC,090801.000,A,3907.6460,N,08431.6074,W,0.22,54.74,040120,,,A*4B

BREAD,$GPRMC,090802.000,A,3907.6461,N,08431.6073,W,0.25,72.55,040120,,,A*4E

BREAD,$GPRMC,090803.000,A,3907.6461,N,08431.6072,W,0.17,27.93,040120,,,A*45

BREAD,$GPRMC,090804.000,A,3907.6461,N,08431.6072,W,0.12,38.40,040120,,,A*47

BREAD,$GPRMC,090805.000,A,3907.6461,N,08431.6072,W,0.16,332.86,040120,,,A*71

BREAD,$GPRMC,090806.000,A,3907.6462,N,08431.6072,W,0.22,319.16,040120,,,A*76

BREAD,$GPRMC,090807.000,A,3907.6462,N,08431.6072,W,0.22,305.35,040120,,,A*7B

BREAD,$GPRMC,090808.000,A,3907.6462,N,08431.6073,W,0.07,292.98,040120,,,A*7A

BREAD,$GPRMC,090809.000,A,3907.6462,N,08431.6073,W,0.15,307.89,040120,,,A*75

BREAD,$GPRMC,090810.000,A,3907.6463,N,08431.6074,W,0.10,327.86,040120,,,A*73

BREAD,$GPRMC,090811.000,A,3907.6463,N,08431.6074,W,0.15,73.09,040120,,,A*42

BREAD,$GPRMC,090812.000,A,3907.6463,N,08431.6073,W,0.18,66.98,040120,,,A*47

BREAD,$GPRMC,090813.000,A,3907.6463,N,08431.6073,W,0.16,76.32,040120,,,A*49

BREAD,$GPRMC,090814.000,A,3907.6463,N,08431.6072,W,0.19,122.77,040120,,,A*71

BREAD,$GPRMC,090815.000,A,3907.6463,N,08431.6071,W,0.23,123.10,040120,,,A*7A

